Year,North East,North West,Yorkshire and Humberside,East Midlands,West Midlands,East of England,London,South East,South West
2005,70.2,71.5,71.8,75.8,73.8,79.7,75.1,81.9,82.1
2006,71.1,71.5,72.5,75.8,74.1,81.1,72.0,81.4,81.1
2007,67.2,74.6,71.7,77.8,74.2,79.9,74.9,82.9,81.0
2008,69.4,74.0,72.3,73.8,72.1,80.9,71.3,82.1,80.3
2009,71.4,73.9,73.5,71.1,69.7,81.9,72.5,84.9,75.9
2010,70.5,74.5,72.3,74.0,75.7,79.7,73.4,81.9,79.3
2011,70.7,77.1,75.3,77.0,74.0,83.4,75.9,81.9,82.9
2012,73.0,76.4,76.4,80.1,75.4,83.6,74.4,82.6,81.3
2013,76.4,76.1,72.9,78.0,74.3,82.9,74.3,79.3,83.7
2014,74.6,77.0,74.9,77.8,71.7,79.7,71.4,80.2,83.2
